taskname,category
20501575-Asbestos Abatement labor,Uncategorized
20501575-Hazmat/Asbestos Abat,Uncategorized
20501800-1 Facility Operation,Uncategorized
20501800-Decommissioning labor,FF&E + Millwork
20501800-Ops Loss,Uncategorized
20501850-1 Gen Require Exp,Uncategorized
20501850-Decomissioning,FF&E + Millwork
20501850-Decommission,FF&E + Millwork
20501850-Decommission Expense,FF&E + Millwork
20501950-1 Contractor Insurance,Soft Costs
20501950-Insurance,Soft Costs
20501955-Building Repairs (Pain,Construction
20501995-Div 1 - AHV Permits,Construction
20501995-Div 1 - Gen Use Omnia,Construction
20501995-Div 1 - General Use 1,Construction
20501995-FM Interior Building Expense,Construction
20501995-General Conditions,Construction
20501995-General Requirements,Construction
20501996-FM Exterior Building Expense,Construction
20501996-TI Allowance,Construction
20501997-4YLHI - Building Improvements,Construction
20502000-2 Site Construction,Construction
"20502000-2 Site Construction,",Construction
"20502000-2 Site Construction, all",Construction
20502000-2 Site Construction| all,Construction
20502000-JA1020000-Existing Conditions,Construction
20502000-Site Construction,Construction
20502000-Site Construction| all,Construction
20502000-Sitework,Construction
20502050-2 Site Materials/Methods,Construction
20502050-2Site NCCO Buildout,Construction
20502050-2Site NCCO Buildout - NONPLIC,Construction
20502100-2 Site NCCO IT Costs,Construction
20502100-Site Remediation,Construction
20502200-2 Site Preparation,Construction
"20502200-LHO-2 Site Construction, all",Construction
20502200-Site Preparation,Construction
20502300-2 Earthwrk&SiteImprv,FF&E + Millwork
20502300-2 Pkg Lots/Ext Paving-LI,Uncategorized
20502700-2 Paving,Uncategorized
20502700-Paving/Walks/Curbs,Uncategorized
20502800-2 Site Improvements,Construction
20502800-2 Site Lawn/Road Equip,Construction
20502800-NCCO Tenant Improvements,Construction
20502900-2 Landscaping maint-BMR,Construction
20502900-2 Landscaping new -LI,Construction
"20502925-1 Demolition, Interior",Construction
20502925-2 Demolition,Construction
"20502925-2 Demolition, Interior",Construction
20502925-Construction Expense,Construction
20502925-Demolition,Construction
20502925-Demolition - Exp,Construction
20502925-Demolition labor,Construction
20502925-Demolition-EXP,Construction
20502925-Lab Migration,Uncategorized
20502995-2 General Use Exp,Uncategorized
20502995-Demolition materials,Construction
20502995-Div 2- General Use 1,Construction
20502996-Div 2- General Use 2,Construction
20502997-2 Demo (decomm)-BMR,FF&E + Millwork
20502997-Div 2- General Use 3,Construction
20503000-3 Concrete,Construction
"20503000-3 Concrete, all",Construction
20503000-Building Concrete,Construction
20503000-Concrete,Construction
"20503000-Concrete, all",Construction
20503000-Construction Concrete,Construction
20503000-JA1030000-Concrete,Construction
20503995-Concrete,Construction
20503995-Div 3 - General Use 1,Construction
20504000-Building Masonry,Construction
"20504000-Masonry, all",Construction
20504995-Masonry,Construction
20505000-5 Metals,Construction
"20505000-5 Metals, all",Construction
20505000-Metals,Construction
"20505000-Metals, all",Construction
20505100-5 Structural,Soft Costs
20505100-5 Structural &Metals,Construction
20505100-Struct Bldg Stl Walks Pforms S,Uncategorized
20505100-Structural Steel,Construction
20505500-5 Metal Fabrication,Uncategorized
20505700-Metal and Glass,Uncategorized
20505995-Metals,Construction
20506000-6 Woods/Plastics,Uncategorized
"20506000-6 Woods/Plastics, all",Uncategorized
20506000-General Contractor,Construction
20506000-Woods/Plastics,Uncategorized
"20506000-Woods/Plastics, all",Uncategorized
20506100-6 Wood/Plastics-LHI,Uncategorized
20506100-Carpentry Rough,Construction
20506100-Rough Carpentry,Construction
20506100-Rough carpentry labor,Construction
20506200-6 Wood/Plastics-BM,Uncategorized
20506200-Carpentry Finish,Construction
20506400-Millwork,FF&E + Millwork
20506995-Rough Carpentry materials,Construction
20506995-Woods/Plastics,Uncategorized
20507000-7 Therm/H20Proof,Uncategorized
20507000-7 Therm/H20proof,Uncategorized
"20507000-7 Therm/H20proof, all",Uncategorized
20507000-Roofing,Construction
"20507000-Therm/H20proof, all",Uncategorized
20507000-Therm/H2Oproof,Uncategorized
20507000-Thermal/Moisture Protection,Uncategorized
20507400-7 Roofing/Siding,Construction
20507400-Roof/Siding materials,Uncategorized
20507400-Roofing/Siding,Construction
20507400-Roofing/Siding Panel,Construction
20507700-Roofing labor,Construction
20507800-Fire Life Safety,Construction
20507800-Fire Protection labor,Construction
20507995-Fire Protection materials,Construction
20507996-Fire Panel,Construction
